model,feature_dim,n_samples,time_sec,images_per_sec,file_size_mb,output_path,error
alexnet,4096.0,2100.0,7.205632209777832,291.4386883569163,9.798333168029785,outputs\features_tl\features_alexnet.parquet,
vgg16,4096.0,2100.0,75.15174961090088,27.94346120845857,14.000368118286133,outputs\features_tl\features_vgg16.parquet,
vgg19,4096.0,2100.0,91.96308398246765,22.835249853086218,13.779644012451172,outputs\features_tl\features_vgg19.parquet,
resnet50,2048.0,2100.0,33.03145885467529,63.57575695457861,23.321768760681152,outputs\features_tl\features_resnet50.parquet,
resnet101,2048.0,2100.0,47.84102702140808,43.895378731319546,23.37605571746826,outputs\features_tl\features_resnet101.parquet,
resnet152,2048.0,2100.0,67.08929204940796,31.30156744616493,23.252330780029297,outputs\features_tl\features_resnet152.parquet,
densenet169,1664.0,2100.0,34.466272592544556,60.9291299011618,19.190918922424316,outputs\features_tl\features_densenet169.parquet,
densenet201,1920.0,2100.0,43.880985736846924,47.856718912233255,22.140995979309082,outputs\features_tl\features_densenet201.parquet,
inceptionv3,,,,,,,The parameter 'aux_logits' expected value True but got False instead.
efficientnet_b0,1280.0,2100.0,12.497774362564087,168.02991789404948,14.765686988830566,outputs\features_tl\features_efficientnet_b0.parquet,
efficientnet_b1,1280.0,2100.0,16.18202018737793,129.77366087072443,14.76564884185791,outputs\features_tl\features_efficientnet_b1.parquet,
efficientnet_b2,1408.0,2100.0,16.982264757156372,123.65841835760182,16.24075412750244,outputs\features_tl\features_efficientnet_b2.parquet,
efficientnet_b5,2048.0,2100.0,46.323081493377686,45.33377168140713,23.61573886871338,outputs\features_tl\features_efficientnet_b5.parquet,
efficientnet_b6,2304.0,2100.0,60.77070641517639,34.55612290653845,26.566147804260254,outputs\features_tl\features_efficientnet_b6.parquet,
efficientnet_b7,2560.0,2100.0,82.74177479743958,25.380166247835717,29.51598072052002,outputs\features_tl\features_efficientnet_b7.parquet,
efficientnet_v2_s,1280.0,2100.0,24.77363348007202,84.76754133337953,14.765366554260254,outputs\features_tl\features_efficientnet_v2_s.parquet,
efficientnet_v2_m,1280.0,2100.0,345.5095024108887,6.077980447271829,14.765127182006836,outputs\features_tl\features_efficientnet_v2_m.parquet,
efficientnet_v2_l,1280.0,2100.0,100.91114926338196,20.810386318353384,14.76610279083252,outputs\features_tl\features_efficientnet_v2_l.parquet,
