Classification Method,Accuracy,Recall,Precision,F1 Score,Accuracy_std,Recall_std,Precision_std,F1_std,error,Transfer Learning Method
LogisticRegressionCV,0.8661666666666665,0.9040000000000001,0.857037775621525,0.8727032469951157,0.12190399227807648,0.1303993865016243,0.13102724402902746,0.10963485472265315,,alexnet
MLPClassifier,0.8631666666666666,0.8963333333333333,0.8565282981070823,0.8687647350176242,0.10258451800019988,0.11550324670761425,0.11996498185362413,0.09196470267580578,,alexnet
HistGradientBoostingClassifier,0.8613333333333333,0.8956666666666667,0.8554087467183222,0.8669047351037648,0.11665190382787012,0.1338494178794464,0.12936457740788665,0.10589513086310803,,alexnet
GradientBoostingClassifier,0.861,0.8806666666666667,0.8641158771805599,0.8640999495238185,0.12489595669996684,0.1443514230388233,0.13600383325798704,0.11727837946715429,,alexnet
ExtraTreesClassifier,0.8596666666666666,0.8773333333333333,0.8604649209299625,0.8602381408198614,0.13126690367339358,0.16236994795835832,0.1336463487534922,0.1289116786394761,,alexnet
RandomForestClassifier,0.858,0.8723333333333334,0.8624157556414194,0.8583480111333035,0.12907749610214786,0.15988224833712256,0.13478323923939595,0.12649753819800205,,alexnet
SVC,0.8521666666666666,0.8483333333333333,0.8717811279153695,0.8524840547434656,0.11603411854565306,0.1261942946412396,0.12992148997530661,0.10850292123110623,,alexnet
AdaBoostClassifier,0.8514999999999999,0.8743333333333332,0.850848248135361,0.8559319641852584,0.1079131595311712,0.1201762594414277,0.1251730242845073,0.09889388205406754,,alexnet
BernoulliNB,0.8474999999999999,0.8903333333333332,0.834377403088658,0.8548040337296621,0.11677435506137464,0.12874134275101115,0.12447783853258318,0.1053212009456469,,alexnet
NearestCentroid,0.8455,0.8926666666666666,0.8305355533931886,0.8537069032981129,0.11771682122789418,0.12854571171377127,0.1267149390815622,0.10637057908080119,,alexnet
NuSVC,0.8428333333333334,0.8143333333333332,0.8789126327536401,0.8373150330261995,0.12615697893233388,0.14540403479041886,0.13751224847093182,0.12494814999516908,,alexnet
BaggingClassifier,0.8365,0.8259999999999998,0.8590077828551193,0.8343993247955268,0.11029619213735353,0.13192422067232387,0.12850997551472518,0.10836710312952591,,alexnet
KNeighborsClassifier,0.8263333333333334,0.9256666666666667,0.7889005107619935,0.8455766569913783,0.09936968015110714,0.08897003240792185,0.11612150173056762,0.07984263294180419,,alexnet
Perceptron,0.8065,0.8280000000000001,0.806562106870415,0.8113977680158919,0.08590838143045183,0.09877246579892597,0.10589875603480568,0.07813942680594801,,alexnet
LogisticRegression,0.8049999999999999,0.8226666666666667,0.8058869964731326,0.8093713155808754,0.08288546314040841,0.09086987032748167,0.09665582234489314,0.07359702774126188,,alexnet
PassiveAggressiveClassifier,0.7916666666666667,0.8150000000000001,0.7875943597512912,0.7971706525181047,0.07359800721939871,0.08102468759581861,0.08477581230739596,0.06457030964634854,,alexnet
SGDClassifier,0.7916666666666667,0.725,0.8558114501064553,0.7769487725597545,0.09073771725877466,0.10698130677833395,0.12714800214865996,0.09045800645759405,,alexnet
LinearSVC,0.7801666666666667,0.8039999999999999,0.7744978244557182,0.785416992003837,0.07198553095356502,0.08558037158133869,0.07858389294800767,0.06527329066764603,,alexnet
DecisionTreeClassifier,0.7801666666666667,0.7796666666666667,0.7936073031403345,0.7790481869769736,0.10151477724942315,0.1273878591807974,0.11657060176312782,0.1012587229251473,,alexnet
GaussianNB,0.7535,0.8939999999999999,0.7166666876746928,0.7894388449187729,0.10733242753240978,0.06151422599691878,0.12497068944863968,0.08113975830631134,,alexnet
ExtraTreeClassifier,0.7521666666666667,0.7590000000000001,0.7544987069867155,0.7526139845585741,0.08940870576552747,0.11458184847522754,0.10198953743943763,0.0927575369181249,,alexnet
RidgeClassifierCV,0.7018333333333333,0.7546666666666667,0.6853874473509362,0.7167873015282242,0.05769387604705837,0.06705221845696084,0.058555420852848296,0.05295250283067795,,alexnet
LinearDiscriminantAnalysis,0.6751666666666667,0.7093333333333333,0.6665497015474044,0.6854290376974422,0.04143569314813819,0.059643384656920095,0.04370835822918072,0.040302660095826774,,alexnet
RidgeClassifier,0.6439999999999999,0.6926666666666668,0.6335306847081578,0.660853264957158,0.05175905717843012,0.049638694583963416,0.052372993152434766,0.04500391066359154,,alexnet
QuadraticDiscriminantAnalysis,0.0,0.0,0.0,0.0,,,,,"The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 900 samples and 4096 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.",alexnet
SVC,0.8831666666666667,0.9173333333333332,0.8734098373675744,0.8889133359681376,0.11812528659577226,0.12101239605924675,0.12793866546917873,0.1061076007217175,,densenet169
LogisticRegressionCV,0.8808333333333334,0.9120000000000001,0.8748405579342503,0.8863301354085562,0.11769841403632705,0.12351518125315607,0.13143378658612095,0.1063330163199088,,densenet169
NuSVC,0.8800000000000001,0.905,0.8780994411049233,0.8843733348309663,0.11706835610018618,0.12635268101627287,0.1290589034503138,0.10607713394108245,,densenet169
RandomForestClassifier,0.8793333333333333,0.9003333333333332,0.8792423751656371,0.8828695329472998,0.11391078380323202,0.12527702635891919,0.12773968600484273,0.10456475709012418,,densenet169
ExtraTreesClassifier,0.8778333333333332,0.9029999999999999,0.8746172590061828,0.882100851049129,0.11799258451275657,0.12681088281373962,0.12902343315795703,0.10761916030636025,,densenet169
MLPClassifier,0.8765000000000001,0.8983333333333332,0.8730697113571623,0.8799014141272279,0.11554328193365462,0.12685293322058683,0.12737786601753096,0.10846667376390345,,densenet169
KNeighborsClassifier,0.8691666666666666,0.9223333333333332,0.8482648830712494,0.8786075056277515,0.10160995686119216,0.09209958378479967,0.11706812985367665,0.08681637538761121,,densenet169
GradientBoostingClassifier,0.8673333333333334,0.8939999999999999,0.8663175837935198,0.8730084727481723,0.12119818480488886,0.12297967311714565,0.1362056129506825,0.1087734006300762,,densenet169
HistGradientBoostingClassifier,0.867,0.8983333333333332,0.8615086048562637,0.8723148558161421,0.1180296572900218,0.1299422948850758,0.13350471856777946,0.10776886003386604,,densenet169
NearestCentroid,0.8665,0.9323333333333335,0.8401642527316493,0.8782695251080943,0.11265100976023248,0.09974467404327914,0.12778325225267456,0.09553597377174236,,densenet169
BernoulliNB,0.8611666666666669,0.9303333333333332,0.8358630746105536,0.8737587825285663,0.10287006367257677,0.09327915093953204,0.12541671369954202,0.08547856441792143,,densenet169
BaggingClassifier,0.8494999999999999,0.8406666666666667,0.8720186624050011,0.8495856072746129,0.10640606185739608,0.1125936647122445,0.13045449737515932,0.09897038085584935,,densenet169
AdaBoostClassifier,0.8465,0.8636666666666667,0.849512337688707,0.8504866483979893,0.10310310373601758,0.11081967334368026,0.12529840519457558,0.09454253930460614,,densenet169
GaussianNB,0.8355,0.9466666666666667,0.7968379780220138,0.8579181727935271,0.11265988638375239,0.07750268812542355,0.132964973101158,0.08672073093379008,,densenet169
LogisticRegression,0.8278333333333332,0.8413333333333334,0.8322389623366959,0.8299878713449237,0.10464503491964317,0.12723731108968522,0.12388084408562336,0.10168783916493088,,densenet169
PassiveAggressiveClassifier,0.8223333333333332,0.8366666666666667,0.8279644503635935,0.8255808512944766,0.09890567897412834,0.11392980294900891,0.11997563564258777,0.09268860968729889,,densenet169
LinearSVC,0.8146666666666667,0.8256666666666668,0.822285642792538,0.8167366701009471,0.0988652281306898,0.12130814756918296,0.120478836501757,0.09462486256813685,,densenet169
SGDClassifier,0.8146666666666667,0.7873333333333334,0.8486726906074548,0.8102916915174957,0.10374327287427684,0.11356642696384057,0.1306754358679793,0.10061687398628771,,densenet169
Perceptron,0.8145,0.8206666666666667,0.8251339181529861,0.8162095036620484,0.10524851542895984,0.11993331480451962,0.12786284176386797,0.10051595974519291,,densenet169
RidgeClassifierCV,0.7968333333333334,0.8223333333333332,0.7903557371339771,0.8024622585831593,0.09602213286529307,0.10383801487573487,0.10500624912630548,0.09011075998093634,,densenet169
DecisionTreeClassifier,0.7796666666666666,0.7833333333333333,0.7857290547732886,0.7809256405025333,0.1058662678413982,0.11132534901509779,0.11186046628372165,0.09935070926111211,,densenet169
ExtraTreeClassifier,0.7571666666666668,0.7836666666666666,0.7521328492687384,0.7657990681649315,0.09968575625434155,0.07857692621459134,0.10475568179254735,0.08648973930912257,,densenet169
RidgeClassifier,0.734,0.7466666666666667,0.7323666635833387,0.7369942582469287,0.0803056660516554,0.09338094023943,0.0866803322336251,0.0792468768433763,,densenet169
LinearDiscriminantAnalysis,0.668,0.6853333333333333,0.6648549776260987,0.6717114190429971,0.06313477647065838,0.0977547952787995,0.06461689873764936,0.06893074449837049,,densenet169
QuadraticDiscriminantAnalysis,0.0,0.0,0.0,0.0,,,,,"The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 900 samples and 1664 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.",densenet169
SVC,0.8835,0.9113333333333333,0.8785760904871796,0.8876969140687377,0.1141720193392409,0.12718490476467717,0.12558086158164522,0.10433908612693588,,densenet201
NuSVC,0.8823333333333332,0.9046666666666667,0.8796390597767646,0.8854198502177011,0.120584686700537,0.1354351013093233,0.1278461302247142,0.11241600174679885,,densenet201
LogisticRegressionCV,0.8815,0.9103333333333333,0.8764543258207051,0.8864162062047211,0.12202561206566433,0.12943853110002962,0.13172743949323384,0.1107465166041931,,densenet201
ExtraTreesClassifier,0.8811666666666668,0.9086666666666666,0.8764358941258008,0.8859605050828101,0.1143047826354319,0.12064824905484539,0.12480805713627195,0.10297720077416452,,densenet201
HistGradientBoostingClassifier,0.8761666666666666,0.9036666666666667,0.8722981473291069,0.8816070532785145,0.11662153889112137,0.11776105751336756,0.1285956171799611,0.10454816134597529,,densenet201
RandomForestClassifier,0.8756666666666666,0.8963333333333333,0.8751185144356886,0.8782544906786718,0.12411956601062807,0.14273868898561923,0.13112733939613483,0.11638451206533733,,densenet201
GradientBoostingClassifier,0.8753333333333332,0.8933333333333333,0.8773075214046727,0.87817187142907,0.11771859099847681,0.13236313686219436,0.1266525515821727,0.10873616942244926,,densenet201
MLPClassifier,0.8648333333333333,0.8879999999999999,0.8663539255458325,0.868920873239631,0.10758058994694784,0.12302845199383758,0.12527081162592493,0.09722416433862369,,densenet201
NearestCentroid,0.8603333333333332,0.9356666666666665,0.8302887760139477,0.8739968452563822,0.10679107328486466,0.09064031479792348,0.12283053892103765,0.0880557932401765,,densenet201
BaggingClassifier,0.8541666666666667,0.8546666666666667,0.8661079353255303,0.8531331131960564,0.11991490038078392,0.14545102268461368,0.12968162444791528,0.11814727435177177,,densenet201
KNeighborsClassifier,0.8521666666666666,0.9193333333333333,0.8285493233682809,0.8641949196326891,0.10379747909591382,0.10638295602836638,0.12366404352260181,0.0882583345861735,,densenet201
BernoulliNB,0.8503333333333334,0.9396666666666667,0.8161996245019884,0.867496826174853,0.11209817126073018,0.08540686935682242,0.12963546700666803,0.09026238671179967,,densenet201
AdaBoostClassifier,0.8501666666666667,0.8666666666666666,0.8533871897668913,0.8545453181777551,0.1104547418629006,0.10920927921503129,0.12446786030534118,0.09940532854855302,,densenet201
Perceptron,0.8323333333333334,0.85,0.8335036382150065,0.8363867768589154,0.09381186847444554,0.09979979959899718,0.11511528825329997,0.08623966369658095,,densenet201
LogisticRegression,0.8310000000000001,0.8453333333333333,0.8336834944691439,0.8343033521184786,0.10212247548899314,0.11010298209706522,0.12173929680824777,0.09645335409873658,,densenet201
PassiveAggressiveClassifier,0.8261666666666667,0.8413333333333333,0.8281688629513028,0.829629886118419,0.1017951374084244,0.10995150446143669,0.12094584920099768,0.09599118124565993,,densenet201
SGDClassifier,0.8256666666666668,0.7773333333333333,0.8707863380740408,0.8169665643076283,0.09104394543296111,0.10190191362285599,0.11710067992624591,0.09260163763453418,,densenet201
LinearSVC,0.8215000000000001,0.8380000000000001,0.8234391905111597,0.8256125708798262,0.10074844911957703,0.10543244282477761,0.12138422223586823,0.09349732885381172,,densenet201
GaussianNB,0.8160000000000001,0.9433333333333334,0.7729414902343809,0.8425241161115139,0.11150784725749127,0.07899367063252599,0.13112599341912612,0.08661497929272269,,densenet201
DecisionTreeClassifier,0.7991666666666666,0.794,0.8166644062485506,0.8002630930105633,0.07848301302405085,0.0710211236182588,0.10712669219057762,0.0675630408841368,,densenet201
RidgeClassifierCV,0.7803333333333333,0.813,0.7722396931020971,0.7878592757707372,0.10294496911780908,0.11090987332063815,0.11150489101137492,0.09552254510176574,,densenet201
ExtraTreeClassifier,0.7473333333333334,0.7466666666666666,0.7623187471705277,0.7476879706179965,0.08502352615599988,0.10026631205611052,0.11284964813949938,0.0776702168504976,,densenet201
RidgeClassifier,0.7096666666666667,0.732,0.7057412770614093,0.7164755626410227,0.06656575696257047,0.068818602136341,0.07135031921728968,0.058593614982557454,,densenet201
LinearDiscriminantAnalysis,0.5276666666666666,0.544,0.5280602018745386,0.5351206557310824,0.029591665493288264,0.03611094017053558,0.030509800158384434,0.025658979158319675,,densenet201
QuadraticDiscriminantAnalysis,0.0,0.0,0.0,0.0,,,,,"The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 900 samples and 1920 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.",densenet201
SVC,0.8889999999999999,0.9129999999999999,0.8874709165478668,0.8939321697143209,0.11984990613262907,0.11841030360572513,0.13285752273013127,0.10716305055586706,,efficientnet_b0
LogisticRegressionCV,0.8881666666666665,0.9213333333333333,0.881068376210281,0.8946418018901884,0.11715481210774058,0.11076702277001639,0.1316681259250355,0.10303147215692643,,efficientnet_b0
NuSVC,0.8848333333333332,0.8916666666666666,0.8955943823101309,0.8868264244790026,0.12888075884320357,0.13681496019563552,0.13974508871926333,0.11951371556612155,,efficientnet_b0
RandomForestClassifier,0.884,0.8986666666666666,0.8902654587813702,0.8877232275503394,0.12197950647547315,0.12483055181591832,0.136684818724109,0.11037994305702817,,efficientnet_b0
ExtraTreesClassifier,0.8821666666666668,0.909,0.8790491028447294,0.8878271928838544,0.11140279769078214,0.1072800074571213,0.1276394776634585,0.09771503567784011,,efficientnet_b0
GradientBoostingClassifier,0.8768333333333332,0.9059999999999999,0.8721000077841788,0.88228162100511,0.11096658656250238,0.1146472851837321,0.1254893449997125,0.0986124409065151,,efficientnet_b0
NearestCentroid,0.8761666666666666,0.925,0.8597927509344704,0.8853334298047942,0.11347062762377466,0.1022985825903761,0.12951863632174324,0.09722847541479566,,efficientnet_b0
MLPClassifier,0.8758333333333332,0.8966666666666667,0.878642037227484,0.8816965010968101,0.11705945782663897,0.1065520217233504,0.13503846416589527,0.10287484661707638,,efficientnet_b0
HistGradientBoostingClassifier,0.8756666666666666,0.9036666666666667,0.873026268396987,0.8820154999523379,0.12023172071739913,0.11305308487608817,0.1336808013824395,0.1053946697874362,,efficientnet_b0
BernoulliNB,0.8696666666666667,0.9179999999999999,0.8528051433973811,0.8784631015886664,0.10521881960942159,0.09907572861200667,0.1210500871763528,0.09006820946365524,,efficientnet_b0
KNeighborsClassifier,0.8539999999999999,0.9226666666666666,0.829681428179948,0.8671070313545621,0.1054466689848475,0.09375855516520434,0.12566707619637846,0.0871691197717642,,efficientnet_b0
GaussianNB,0.8488333333333333,0.9269999999999999,0.8177239291592979,0.8625872231112298,0.10347584259139908,0.10139526616169021,0.12044800369583775,0.08741839424478098,,efficientnet_b0
BaggingClassifier,0.8461666666666667,0.8456666666666667,0.8609031862065898,0.8476218646997044,0.10838473139700074,0.11076551810017411,0.12589918575156012,0.0996528786326058,,efficientnet_b0
AdaBoostClassifier,0.8406666666666667,0.8573333333333333,0.8413004724835108,0.8443821740604465,0.11225269113329382,0.11884443613396463,0.12804618337539828,0.10664349177568128,,efficientnet_b0
LogisticRegression,0.8341666666666667,0.8546666666666667,0.83581347228947,0.8394436334690903,0.0833641609646096,0.08316249154516717,0.10972846395510116,0.07245904824415,,efficientnet_b0
Perceptron,0.8245000000000001,0.8393333333333333,0.8301576325680436,0.8295618093435179,0.09190892230899024,0.08452218643646175,0.11858678875824483,0.08098450724390367,,efficientnet_b0
PassiveAggressiveClassifier,0.8240000000000001,0.8450000000000001,0.8248009497905461,0.8293364648023258,0.082516664983505,0.08381527307120105,0.10778283793088035,0.07240923041080559,,efficientnet_b0
LinearSVC,0.8238333333333333,0.8416666666666668,0.8253425930286241,0.8282122374018732,0.0834600702931248,0.08909732506272754,0.10617175668880832,0.07496475729807672,,efficientnet_b0
SGDClassifier,0.8193333333333334,0.7786666666666666,0.8614574590018437,0.8124209525505117,0.08765842800324451,0.09669195071635144,0.12175918706014545,0.08624509139330898,,efficientnet_b0
RidgeClassifierCV,0.7939999999999999,0.8363333333333334,0.7798063947584355,0.8029108163573555,0.07126710321038733,0.08351247411814199,0.08194120468993707,0.06226961400710098,,efficientnet_b0
DecisionTreeClassifier,0.7768333333333333,0.7756666666666666,0.7892981361328925,0.7771504030246527,0.08751333231761507,0.09658674857349739,0.1004111087872171,0.07817881533925722,,efficientnet_b0
RidgeClassifier,0.7658333333333334,0.7983333333333335,0.757014731559248,0.7733621767551396,0.06813895117087339,0.08233063423376097,0.07684968653928978,0.06197057651235609,,efficientnet_b0
LinearDiscriminantAnalysis,0.7623333333333332,0.7933333333333333,0.7544707056981539,0.7697534870572701,0.06774215821775978,0.0804155872120988,0.07686799775998814,0.06095814977047612,,efficientnet_b0
ExtraTreeClassifier,0.7458333333333333,0.735,0.7641972504407906,0.7437620179149464,0.08565191182921719,0.09233092656309692,0.10594546107234531,0.07862382715605157,,efficientnet_b0
QuadraticDiscriminantAnalysis,0.0,0.0,0.0,0.0,,,,,"The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 900 samples and 1280 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.",efficientnet_b0
LogisticRegressionCV,0.8800000000000001,0.9126666666666667,0.8709067213240844,0.8860612641238413,0.11757976016304847,0.11666476188921257,0.12987487221159005,0.10623168460511308,,efficientnet_b1
ExtraTreesClassifier,0.8775000000000001,0.9013333333333333,0.8747697949486073,0.8824069673797087,0.11981756966321758,0.11976087285364392,0.13388547573980392,0.10939181134993928,,efficientnet_b1
SVC,0.8761666666666665,0.9003333333333334,0.8758902896092289,0.8807966964296083,0.12422660745589084,0.13181173442957697,0.1386194683798181,0.11346778541793061,,efficientnet_b1
NuSVC,0.8743333333333334,0.8843333333333334,0.8813153724919071,0.8768300260362988,0.12057777573002412,0.1279413928328123,0.13552027516957843,0.1127398021812665,,efficientnet_b1
RandomForestClassifier,0.8731666666666665,0.8976666666666666,0.8694023888422613,0.8782865462399121,0.1132118221153015,0.11130588483993108,0.12808335504993093,0.10300017873563466,,efficientnet_b1
GradientBoostingClassifier,0.8708333333333333,0.8933333333333333,0.870765614367795,0.8758002908329434,0.11928781720416101,0.11991663771137012,0.13437774875719888,0.10791414178181519,,efficientnet_b1
NearestCentroid,0.8693333333333333,0.9099999999999999,0.8537802029219742,0.8764265056557028,0.11807765806168977,0.11636150566231085,0.12954046439162276,0.1078743544404402,,efficientnet_b1
HistGradientBoostingClassifier,0.8693333333333333,0.8996666666666666,0.8642472089844848,0.87586599604684,0.12376321478263778,0.11838214955529963,0.13517191180467206,0.1101030205027422,,efficientnet_b1
MLPClassifier,0.8668333333333333,0.8906666666666666,0.8657503820271609,0.8723769094946048,0.12165627809529597,0.11847925275478963,0.13399706947480347,0.1093464538502671,,efficientnet_b1
BernoulliNB,0.8595,0.8993333333333334,0.8472854702319038,0.8667055309280839,0.12268761143652605,0.12619033243477887,0.13667485612263722,0.11281514113531407,,efficientnet_b1
KNeighborsClassifier,0.8513333333333334,0.942,0.8132661581649995,0.8679546596198039,0.09959584998047526,0.07180529228406494,0.11804882946096908,0.08123907833255166,,efficientnet_b1
GaussianNB,0.8486666666666667,0.9263333333333332,0.8203687958460344,0.8636692125626487,0.11475045388436017,0.09923541034664324,0.13405531216148547,0.09691623669380296,,efficientnet_b1
AdaBoostClassifier,0.8474999999999999,0.8626666666666667,0.8485071569975983,0.8512874564700205,0.12371843031658622,0.12480918769599186,0.13679956342109606,0.11698391655205041,,efficientnet_b1
BaggingClassifier,0.841,0.841,0.8580834470574434,0.8424086790466541,0.11909659944767523,0.12809761902549166,0.14453027235482085,0.11231438755549476,,efficientnet_b1
LogisticRegression,0.8178333333333333,0.8390000000000001,0.8165017149585744,0.8209878497907861,0.09759055623710046,0.124374434672082,0.11332598018451329,0.09552944625938685,,efficientnet_b1
Perceptron,0.8093333333333333,0.8193333333333334,0.814071199109492,0.8104178288375051,0.0965090669315583,0.12303387067524671,0.11193372517887802,0.095585442383692,,efficientnet_b1
SGDClassifier,0.8036666666666668,0.7576666666666666,0.8471582263535179,0.7937806052822107,0.10349396117648603,0.12182911529405989,0.13048312246324265,0.1070276998228823,,efficientnet_b1
PassiveAggressiveClassifier,0.7986666666666666,0.8193333333333331,0.7962685061145838,0.8014005953296298,0.09129256997879584,0.1237632147826378,0.10331233594508886,0.09184038251785276,,efficientnet_b1
LinearSVC,0.7921666666666668,0.8176666666666665,0.7861106373247904,0.7961773779780178,0.09269439033727984,0.12114316599241852,0.10124414381996895,0.09209600605975712,,efficientnet_b1
DecisionTreeClassifier,0.7685,0.7623333333333334,0.7937776227921493,0.7712659125736083,0.09289913885499693,0.06549045732013176,0.13398429359300779,0.07561798826344747,,efficientnet_b1
RidgeClassifierCV,0.7575000000000001,0.8019999999999999,0.7403873196694714,0.7666699895017108,0.07717674520216566,0.10467091286503619,0.07929313453335045,0.0761533247380136,,efficientnet_b1
ExtraTreeClassifier,0.7343333333333333,0.7456666666666667,0.7421751714129095,0.7396915592349168,0.10044401425669926,0.08882004278314666,0.11919670989978841,0.08816038481417822,,efficientnet_b1
RidgeClassifier,0.7223333333333333,0.7753333333333334,0.7039990910112242,0.7352009780574101,0.071325544746138,0.09717338455907909,0.06937614642997852,0.06958760766834086,,efficientnet_b1
LinearDiscriminantAnalysis,0.7144999999999999,0.771,0.6955903834473718,0.7286871868628568,0.0724379044423567,0.09792343948207703,0.0696089146260582,0.07016427217879008,,efficientnet_b1
QuadraticDiscriminantAnalysis,0.0,0.0,0.0,0.0,,,,,"The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 900 samples and 1280 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.",efficientnet_b1
SVC,0.8803333333333333,0.9043333333333333,0.8794323047735549,0.8853690311390359,0.1132372141421126,0.11414464507807628,0.12945717406907942,0.1013732874034011,,efficientnet_b2
HistGradientBoostingClassifier,0.8788333333333334,0.909,0.875128275761209,0.8846540554534024,0.10856142654429948,0.11193301568348814,0.1276146042559023,0.09650803081661144,,efficientnet_b2
LogisticRegressionCV,0.8736666666666666,0.897,0.87274028823433,0.8777192481270119,0.11155417219151122,0.12345444503945574,0.12863600880655357,0.10244730773242722,,efficientnet_b2
RandomForestClassifier,0.8728333333333333,0.889,0.8752888542436914,0.8765637419451661,0.10836166296250718,0.11103603018840325,0.12575193514081073,0.09905661593320583,,efficientnet_b2
NuSVC,0.8718333333333333,0.8800000000000001,0.8790866768317773,0.8736761322980919,0.11883567085125016,0.1289961239727768,0.13180423563996083,0.11161692320486467,,efficientnet_b2
ExtraTreesClassifier,0.8698333333333332,0.8859999999999999,0.8732151537258794,0.8730411221535481,0.11162548992053743,0.12191800523302537,0.12766329233106924,0.10236244690343811,,efficientnet_b2
GradientBoostingClassifier,0.8691666666666669,0.8976666666666666,0.8659556464997257,0.8741078680039636,0.10914630853430944,0.12064686762061695,0.12582316941418187,0.098684654305414,,efficientnet_b2
MLPClassifier,0.8621666666666666,0.8923333333333334,0.8590154496270515,0.8685509549962018,0.10723300176096288,0.10940292500660119,0.12960195753813294,0.09522600142843257,,efficientnet_b2
NearestCentroid,0.8615,0.8716666666666667,0.8679838021009182,0.8639290564511851,0.11180451690338812,0.12085114811204731,0.1277553255337656,0.1040504844458273,,efficientnet_b2
BernoulliNB,0.8615,0.8743333333333334,0.8686526747648251,0.8648786886125395,0.11434705942874089,0.12031486469537611,0.1334040729662422,0.10443443754836165,,efficientnet_b2
GaussianNB,0.8574999999999999,0.8813333333333334,0.8563733660085708,0.862527781785829,0.11625940822144244,0.12039933554633928,0.13143425530597153,0.10548529296320483,,efficientnet_b2
KNeighborsClassifier,0.8548333333333333,0.9006666666666667,0.8392570540418747,0.8633579547570832,0.10229165818058351,0.10144292319657722,0.11558073454572858,0.0883311770835071,,efficientnet_b2
AdaBoostClassifier,0.8461666666666666,0.869,0.8488702254548827,0.851377711099033,0.11062963737926047,0.11614215427655886,0.12885055746851734,0.09900857365288526,,efficientnet_b2
BaggingClassifier,0.8371666666666666,0.8303333333333333,0.8587765653956648,0.8370800156263671,0.11078770990803387,0.12141251994749139,0.13311426377601132,0.10319137776623642,,efficientnet_b2
