Classification Method,Accuracy,Recall,Precision,F1 Score,Accuracy_std,Recall_std,Precision_std,F1_std,error,Transfer Learning Method
SVC,0.8831666666666667,0.9173333333333332,0.8734098373675744,0.8889133359681376,0.11812528659577226,0.12101239605924675,0.12793866546917873,0.1061076007217175,,densenet169
LogisticRegressionCV,0.8808333333333334,0.9120000000000001,0.8748405579342503,0.8863301354085562,0.11769841403632705,0.12351518125315607,0.13143378658612095,0.1063330163199088,,densenet169
NuSVC,0.8800000000000001,0.905,0.8780994411049233,0.8843733348309663,0.11706835610018618,0.12635268101627287,0.1290589034503138,0.10607713394108245,,densenet169
RandomForestClassifier,0.8793333333333333,0.9003333333333332,0.8792423751656371,0.8828695329472998,0.11391078380323202,0.12527702635891919,0.12773968600484273,0.10456475709012418,,densenet169
ExtraTreesClassifier,0.8778333333333332,0.9029999999999999,0.8746172590061828,0.882100851049129,0.11799258451275657,0.12681088281373962,0.12902343315795703,0.10761916030636025,,densenet169
MLPClassifier,0.8765000000000001,0.8983333333333332,0.8730697113571623,0.8799014141272279,0.11554328193365462,0.12685293322058683,0.12737786601753096,0.10846667376390345,,densenet169
KNeighborsClassifier,0.8691666666666666,0.9223333333333332,0.8482648830712494,0.8786075056277515,0.10160995686119216,0.09209958378479967,0.11706812985367665,0.08681637538761121,,densenet169
GradientBoostingClassifier,0.8673333333333334,0.8939999999999999,0.8663175837935198,0.8730084727481723,0.12119818480488886,0.12297967311714565,0.1362056129506825,0.1087734006300762,,densenet169
HistGradientBoostingClassifier,0.867,0.8983333333333332,0.8615086048562637,0.8723148558161421,0.1180296572900218,0.1299422948850758,0.13350471856777946,0.10776886003386604,,densenet169
NearestCentroid,0.8665,0.9323333333333335,0.8401642527316493,0.8782695251080943,0.11265100976023248,0.09974467404327914,0.12778325225267456,0.09553597377174236,,densenet169
BernoulliNB,0.8611666666666669,0.9303333333333332,0.8358630746105536,0.8737587825285663,0.10287006367257677,0.09327915093953204,0.12541671369954202,0.08547856441792143,,densenet169
BaggingClassifier,0.8494999999999999,0.8406666666666667,0.8720186624050011,0.8495856072746129,0.10640606185739608,0.1125936647122445,0.13045449737515932,0.09897038085584935,,densenet169
AdaBoostClassifier,0.8465,0.8636666666666667,0.849512337688707,0.8504866483979893,0.10310310373601758,0.11081967334368026,0.12529840519457558,0.09454253930460614,,densenet169
GaussianNB,0.8355,0.9466666666666667,0.7968379780220138,0.8579181727935271,0.11265988638375239,0.07750268812542355,0.132964973101158,0.08672073093379008,,densenet169
LogisticRegression,0.8278333333333332,0.8413333333333334,0.8322389623366959,0.8299878713449237,0.10464503491964317,0.12723731108968522,0.12388084408562336,0.10168783916493088,,densenet169
PassiveAggressiveClassifier,0.8223333333333332,0.8366666666666667,0.8279644503635935,0.8255808512944766,0.09890567897412834,0.11392980294900891,0.11997563564258777,0.09268860968729889,,densenet169
LinearSVC,0.8146666666666667,0.8256666666666668,0.822285642792538,0.8167366701009471,0.0988652281306898,0.12130814756918296,0.120478836501757,0.09462486256813685,,densenet169
SGDClassifier,0.8146666666666667,0.7873333333333334,0.8486726906074548,0.8102916915174957,0.10374327287427684,0.11356642696384057,0.1306754358679793,0.10061687398628771,,densenet169
Perceptron,0.8145,0.8206666666666667,0.8251339181529861,0.8162095036620484,0.10524851542895984,0.11993331480451962,0.12786284176386797,0.10051595974519291,,densenet169
RidgeClassifierCV,0.7968333333333334,0.8223333333333332,0.7903557371339771,0.8024622585831593,0.09602213286529307,0.10383801487573487,0.10500624912630548,0.09011075998093634,,densenet169
DecisionTreeClassifier,0.7796666666666666,0.7833333333333333,0.7857290547732886,0.7809256405025333,0.1058662678413982,0.11132534901509779,0.11186046628372165,0.09935070926111211,,densenet169
ExtraTreeClassifier,0.7571666666666668,0.7836666666666666,0.7521328492687384,0.7657990681649315,0.09968575625434155,0.07857692621459134,0.10475568179254735,0.08648973930912257,,densenet169
RidgeClassifier,0.734,0.7466666666666667,0.7323666635833387,0.7369942582469287,0.0803056660516554,0.09338094023943,0.0866803322336251,0.0792468768433763,,densenet169
LinearDiscriminantAnalysis,0.668,0.6853333333333333,0.6648549776260987,0.6717114190429971,0.06313477647065838,0.0977547952787995,0.06461689873764936,0.06893074449837049,,densenet169
QuadraticDiscriminantAnalysis,0.0,0.0,0.0,0.0,,,,,"The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 900 samples and 1664 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.",densenet169
