Classification Method,Accuracy,Recall,Precision,F1 Score,Accuracy_std,Recall_std,Precision_std,F1_std,error,Transfer Learning Method
SVC,0.8889999999999999,0.9129999999999999,0.8874709165478668,0.8939321697143209,0.11984990613262907,0.11841030360572513,0.13285752273013127,0.10716305055586706,,efficientnet_b0
LogisticRegressionCV,0.8881666666666665,0.9213333333333333,0.881068376210281,0.8946418018901884,0.11715481210774058,0.11076702277001639,0.1316681259250355,0.10303147215692643,,efficientnet_b0
NuSVC,0.8848333333333332,0.8916666666666666,0.8955943823101309,0.8868264244790026,0.12888075884320357,0.13681496019563552,0.13974508871926333,0.11951371556612155,,efficientnet_b0
RandomForestClassifier,0.884,0.8986666666666666,0.8902654587813702,0.8877232275503394,0.12197950647547315,0.12483055181591832,0.136684818724109,0.11037994305702817,,efficientnet_b0
ExtraTreesClassifier,0.8821666666666668,0.909,0.8790491028447294,0.8878271928838544,0.11140279769078214,0.1072800074571213,0.1276394776634585,0.09771503567784011,,efficientnet_b0
GradientBoostingClassifier,0.8768333333333332,0.9059999999999999,0.8721000077841788,0.88228162100511,0.11096658656250238,0.1146472851837321,0.1254893449997125,0.0986124409065151,,efficientnet_b0
NearestCentroid,0.8761666666666666,0.925,0.8597927509344704,0.8853334298047942,0.11347062762377466,0.1022985825903761,0.12951863632174324,0.09722847541479566,,efficientnet_b0
MLPClassifier,0.8758333333333332,0.8966666666666667,0.878642037227484,0.8816965010968101,0.11705945782663897,0.1065520217233504,0.13503846416589527,0.10287484661707638,,efficientnet_b0
HistGradientBoostingClassifier,0.8756666666666666,0.9036666666666667,0.873026268396987,0.8820154999523379,0.12023172071739913,0.11305308487608817,0.1336808013824395,0.1053946697874362,,efficientnet_b0
BernoulliNB,0.8696666666666667,0.9179999999999999,0.8528051433973811,0.8784631015886664,0.10521881960942159,0.09907572861200667,0.1210500871763528,0.09006820946365524,,efficientnet_b0
KNeighborsClassifier,0.8539999999999999,0.9226666666666666,0.829681428179948,0.8671070313545621,0.1054466689848475,0.09375855516520434,0.12566707619637846,0.0871691197717642,,efficientnet_b0
GaussianNB,0.8488333333333333,0.9269999999999999,0.8177239291592979,0.8625872231112298,0.10347584259139908,0.10139526616169021,0.12044800369583775,0.08741839424478098,,efficientnet_b0
BaggingClassifier,0.8461666666666667,0.8456666666666667,0.8609031862065898,0.8476218646997044,0.10838473139700074,0.11076551810017411,0.12589918575156012,0.0996528786326058,,efficientnet_b0
AdaBoostClassifier,0.8406666666666667,0.8573333333333333,0.8413004724835108,0.8443821740604465,0.11225269113329382,0.11884443613396463,0.12804618337539828,0.10664349177568128,,efficientnet_b0
LogisticRegression,0.8341666666666667,0.8546666666666667,0.83581347228947,0.8394436334690903,0.0833641609646096,0.08316249154516717,0.10972846395510116,0.07245904824415,,efficientnet_b0
Perceptron,0.8245000000000001,0.8393333333333333,0.8301576325680436,0.8295618093435179,0.09190892230899024,0.08452218643646175,0.11858678875824483,0.08098450724390367,,efficientnet_b0
PassiveAggressiveClassifier,0.8240000000000001,0.8450000000000001,0.8248009497905461,0.8293364648023258,0.082516664983505,0.08381527307120105,0.10778283793088035,0.07240923041080559,,efficientnet_b0
LinearSVC,0.8238333333333333,0.8416666666666668,0.8253425930286241,0.8282122374018732,0.0834600702931248,0.08909732506272754,0.10617175668880832,0.07496475729807672,,efficientnet_b0
SGDClassifier,0.8193333333333334,0.7786666666666666,0.8614574590018437,0.8124209525505117,0.08765842800324451,0.09669195071635144,0.12175918706014545,0.08624509139330898,,efficientnet_b0
RidgeClassifierCV,0.7939999999999999,0.8363333333333334,0.7798063947584355,0.8029108163573555,0.07126710321038733,0.08351247411814199,0.08194120468993707,0.06226961400710098,,efficientnet_b0
DecisionTreeClassifier,0.7768333333333333,0.7756666666666666,0.7892981361328925,0.7771504030246527,0.08751333231761507,0.09658674857349739,0.1004111087872171,0.07817881533925722,,efficientnet_b0
RidgeClassifier,0.7658333333333334,0.7983333333333335,0.757014731559248,0.7733621767551396,0.06813895117087339,0.08233063423376097,0.07684968653928978,0.06197057651235609,,efficientnet_b0
LinearDiscriminantAnalysis,0.7623333333333332,0.7933333333333333,0.7544707056981539,0.7697534870572701,0.06774215821775978,0.0804155872120988,0.07686799775998814,0.06095814977047612,,efficientnet_b0
ExtraTreeClassifier,0.7458333333333333,0.735,0.7641972504407906,0.7437620179149464,0.08565191182921719,0.09233092656309692,0.10594546107234531,0.07862382715605157,,efficientnet_b0
QuadraticDiscriminantAnalysis,0.0,0.0,0.0,0.0,,,,,"The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 900 samples and 1280 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.",efficientnet_b0
