Classification Method,Accuracy,Recall,Precision,F1 Score,Accuracy_std,Recall_std,Precision_std,F1_std,error,Transfer Learning Method
SVC,0.8583333333333334,0.9123333333333333,0.8423964271807535,0.8688998167742084,0.10093727425155354,0.09410455178505803,0.1271797645200858,0.08580880144198684,,efficientnet_v2_l
GradientBoostingClassifier,0.8546666666666667,0.8960000000000001,0.8476866737819199,0.8641830561753319,0.10910698113930811,0.09871170143402452,0.13626183273818784,0.09442759594300212,,efficientnet_v2_l
LogisticRegressionCV,0.8543333333333333,0.8993333333333332,0.8440145984244862,0.8635480673218485,0.10591978096654091,0.10505871374299865,0.13048526947069408,0.09229798984331058,,efficientnet_v2_l
MLPClassifier,0.8543333333333333,0.8926666666666666,0.8493506972766651,0.8636898377813663,0.09826325186287428,0.08380930735902783,0.12909086864835148,0.08256728549268959,,efficientnet_v2_l
HistGradientBoostingClassifier,0.8498333333333333,0.8936666666666666,0.8414116567638217,0.8599933431003265,0.11100412905233151,0.09893263701462053,0.13709102240125995,0.09592850274353595,,efficientnet_v2_l
ExtraTreesClassifier,0.8489999999999999,0.893,0.8400417230341981,0.8596376993551772,0.10751278993682566,0.08672369918309528,0.13381963308198078,0.091275536455133,,efficientnet_v2_l
RandomForestClassifier,0.8433333333333334,0.8843333333333334,0.8361219966278423,0.8531488834246621,0.1076878204193337,0.09592879303594587,0.13525384112403335,0.0943582450017489,,efficientnet_v2_l
NuSVC,0.8428333333333333,0.9123333333333333,0.8221796673407693,0.8579305646340327,0.10329851563954505,0.0778609872357995,0.1336223326963175,0.08442245822303862,,efficientnet_v2_l
AdaBoostClassifier,0.8300000000000001,0.8663333333333332,0.8217587404993096,0.8389239011410368,0.10183319694480775,0.08771734910115178,0.12701940681186552,0.09225353373444327,,efficientnet_v2_l
BaggingClassifier,0.8293333333333333,0.8360000000000001,0.8437410996953364,0.8329295688148992,0.08683701207818395,0.08639444426582071,0.12694782813209593,0.07879090737854554,,efficientnet_v2_l
LogisticRegression,0.8201666666666666,0.8459999999999999,0.8163446696325242,0.8258727344092825,0.09292604586443998,0.09861034428496841,0.10835050021723136,0.08336934941674258,,efficientnet_v2_l
KNeighborsClassifier,0.8196666666666668,0.9473333333333335,0.773520041595239,0.8458310364087822,0.1049888883009372,0.055952360688952756,0.12279985957590688,0.07990000859469816,,efficientnet_v2_l
Perceptron,0.8163333333333334,0.8433333333333334,0.8205451630008174,0.8252636826066617,0.09555626614722869,0.07275529763071094,0.12418752921860762,0.0760273069947258,,efficientnet_v2_l
SGDClassifier,0.8038333333333332,0.764,0.8461537104053903,0.7970277858148128,0.09094274755764385,0.09697422337920525,0.1281102729623051,0.08866708837435455,,efficientnet_v2_l
PassiveAggressiveClassifier,0.7888333333333333,0.8136666666666666,0.7837081833010833,0.7937248500444063,0.08289903497628909,0.10247438704378768,0.09188652931964475,0.07738634564370717,,efficientnet_v2_l
RidgeClassifierCV,0.7846666666666666,0.8640000000000001,0.7517494587156017,0.8007346073726991,0.08608716512930366,0.09789790600416333,0.08359515829267028,0.07549582663374034,,efficientnet_v2_l
LinearSVC,0.7785,0.8046666666666666,0.7730569843704157,0.7840778095301201,0.08139563870380279,0.09917661014573952,0.0899052485498354,0.07537077220300376,,efficientnet_v2_l
DecisionTreeClassifier,0.755,0.7436666666666667,0.7736745029029637,0.7527873799336504,0.07385797181076666,0.08798295289429653,0.10481534159248052,0.07053361546107793,,efficientnet_v2_l
BernoulliNB,0.7405,0.7543333333333333,0.7541799588858412,0.7492874914188477,0.11477042301917335,0.07879720807236765,0.15004900086702025,0.10088939666292866,,efficientnet_v2_l
NearestCentroid,0.7350000000000001,0.8573333333333333,0.7139332031853135,0.7719709304073761,0.12204507364084796,0.04806939428229427,0.14513867756668825,0.09051169888247226,,efficientnet_v2_l
ExtraTreeClassifier,0.7321666666666666,0.7553333333333333,0.7354568084330324,0.7410194265351348,0.08693244503636141,0.06803920438492306,0.10723143543554624,0.07185175063933955,,efficientnet_v2_l
GaussianNB,0.7291666666666666,0.9460000000000001,0.6845847818175811,0.7868817570068554,0.13339009208583175,0.026532998322843174,0.14069773749126488,0.09219716871851519,,efficientnet_v2_l
RidgeClassifier,0.7274999999999999,0.8166666666666668,0.6932948335716882,0.7480528588507995,0.06600189391222042,0.09989994994993742,0.05429722569182294,0.0667202219204551,,efficientnet_v2_l
LinearDiscriminantAnalysis,0.6916666666666667,0.7776666666666666,0.6618770859234323,0.7138889682256667,0.07266360849833979,0.10662551289442877,0.05899954555777731,0.07620940691770652,,efficientnet_v2_l
QuadraticDiscriminantAnalysis,0.0,0.0,0.0,0.0,,,,,"The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 900 samples and 1280 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.",efficientnet_v2_l
