Classification Method,Accuracy,Recall,Precision,F1 Score,Accuracy_std,Recall_std,Precision_std,F1_std,error,Transfer Learning Method
ExtraTreesClassifier,0.8783333333333333,0.9013333333333333,0.8764841171015657,0.882643428069416,0.12001388808522676,0.12562908368155307,0.13282292998982118,0.11006958486468191,,efficientnet_v2_m
SVC,0.8763333333333334,0.9063333333333334,0.8702386337082512,0.8819944261430235,0.12344769472668707,0.12517055031702412,0.13570629386568403,0.1119906699019826,,efficientnet_v2_m
BernoulliNB,0.8758333333333332,0.9093333333333333,0.8656210869818887,0.8814534064301796,0.11851687643538365,0.12230017715986076,0.1312115608119963,0.10895992721226543,,efficientnet_v2_m
RandomForestClassifier,0.8751666666666666,0.901,0.8713827293105636,0.8803796961932431,0.1200982236893341,0.12020399327809372,0.13447989959672493,0.10961601065138482,,efficientnet_v2_m
NuSVC,0.8731666666666665,0.889,0.8759727856042051,0.8761845942823758,0.12182056476638087,0.1312592853858347,0.1342102031793095,0.11310480471919047,,efficientnet_v2_m
NearestCentroid,0.8728333333333333,0.9099999999999999,0.8608046329115769,0.8791546940707586,0.11739782791857777,0.12033287165193057,0.13024512161585505,0.10689302529503493,,efficientnet_v2_m
LogisticRegressionCV,0.8720000000000001,0.9063333333333332,0.8610926075298714,0.8778730937362335,0.12008746812219832,0.1234814426003627,0.13164977157428653,0.11028218010570413,,efficientnet_v2_m
GradientBoostingClassifier,0.8705,0.8966666666666667,0.8670715088834271,0.8760813689863323,0.11389578569903279,0.11186301146193645,0.1296026225707227,0.10237275552052544,,efficientnet_v2_m
HistGradientBoostingClassifier,0.869,0.9003333333333334,0.8632310941542272,0.8751032534733504,0.11173182178770737,0.11387566318870186,0.12782932488213708,0.0996589136055942,,efficientnet_v2_m
MLPClassifier,0.8681666666666666,0.9019999999999999,0.8586974548002086,0.87393658208448,0.11675579928494628,0.12359611644384301,0.12864086685048123,0.10636015799317616,,efficientnet_v2_m
GaussianNB,0.8611666666666669,0.917,0.8427661858605789,0.8717489187594201,0.11483575227253921,0.10686907878334127,0.1328331966714344,0.09900289977824656,,efficientnet_v2_m
KNeighborsClassifier,0.8511666666666666,0.898,0.8339419658566921,0.8598502745911425,0.1059115196756236,0.10457533169921097,0.11829252117207878,0.09340113427024092,,efficientnet_v2_m
BaggingClassifier,0.8466666666666667,0.845,0.8630179588905186,0.8475420817156412,0.113409288273345,0.1220040982918197,0.13506901956178455,0.10700337128913107,,efficientnet_v2_m
AdaBoostClassifier,0.8320000000000001,0.8393333333333333,0.8369473383743538,0.833507872033965,0.11491736161259533,0.12637510303325836,0.1290492488243736,0.11132996014260149,,efficientnet_v2_m
LogisticRegression,0.8198333333333334,0.8320000000000001,0.821590822280943,0.822133579253928,0.10477078155032857,0.11838918869558993,0.11579201961988045,0.10113322149460553,,efficientnet_v2_m
PassiveAggressiveClassifier,0.8071666666666667,0.8253333333333334,0.8049553503707763,0.8111318586232349,0.09979437191879444,0.10787029248129439,0.10899348227859698,0.09395196402402373,,efficientnet_v2_m
SGDClassifier,0.7994999999999999,0.7633333333333334,0.8383002252111377,0.7940309152605559,0.09727409727157582,0.09262828941527529,0.13080799722720313,0.09161895831895385,,efficientnet_v2_m
Perceptron,0.7991666666666666,0.8173333333333332,0.79938125047246,0.8039646526573161,0.10753100328122425,0.10989692140061673,0.11986192179234476,0.09932114367498093,,efficientnet_v2_m
LinearSVC,0.7971666666666666,0.8160000000000001,0.7945669048143011,0.8011743786536918,0.10064251917885735,0.11056219968868203,0.10725785270106143,0.09505124466094464,,efficientnet_v2_m
DecisionTreeClassifier,0.7755000000000001,0.7986666666666666,0.7722324699449877,0.7829040820214691,0.08701867615632865,0.06518691075157136,0.09779467508346648,0.07403656229383385,,efficientnet_v2_m
RidgeClassifierCV,0.7745,0.8116666666666665,0.7613664791060826,0.7826746683891171,0.09458990432387591,0.10436314802968848,0.09254273720856267,0.08687306409845626,,efficientnet_v2_m
ExtraTreeClassifier,0.7501666666666666,0.7610000000000001,0.7520693937846674,0.7531008985726201,0.095430166439479,0.1034842983258813,0.10323113231792518,0.09028497906097974,,efficientnet_v2_m
RidgeClassifier,0.7453333333333333,0.7743333333333334,0.734723700115226,0.7517205195689928,0.0865024084443125,0.104094508340578,0.08336841151548265,0.08424466985414651,,efficientnet_v2_m
LinearDiscriminantAnalysis,0.7398333333333332,0.7673333333333334,0.7289833713312565,0.7456449703484899,0.08452958062122395,0.10505871374299865,0.07950834684283495,0.0841929218531257,,efficientnet_v2_m
QuadraticDiscriminantAnalysis,0.0,0.0,0.0,0.0,,,,,"The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 900 samples and 1280 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.",efficientnet_v2_m
