Classification Method,Accuracy,Recall,Precision,F1 Score,Accuracy_std,Recall_std,Precision_std,F1_std,error,Transfer Learning Method
SVC,0.883,0.909,0.8811622297299009,0.8882417273995425,0.11439405578962569,0.11571084650973736,0.1310540926603199,0.10204961376898222,,efficientnet_v2_s
LogisticRegressionCV,0.881,0.914,0.8742477817662797,0.8872007316128823,0.11614215427655886,0.11663618649458665,0.13298141747951184,0.10380839894142198,,efficientnet_v2_s
HistGradientBoostingClassifier,0.8783333333333333,0.9096666666666666,0.8743022405982037,0.8847523998158813,0.1094988584415381,0.1078934659745436,0.13114156965885634,0.09620523788984012,,efficientnet_v2_s
GradientBoostingClassifier,0.8780000000000001,0.9030000000000001,0.8762638514488398,0.8830374902275354,0.10618851161966626,0.10844814429025516,0.12663255822608577,0.0949367860357193,,efficientnet_v2_s
RandomForestClassifier,0.8776666666666667,0.8993333333333334,0.8788520996294718,0.8820593430495244,0.10609272673782433,0.11149289962444543,0.1254668311093794,0.09467331999506015,,efficientnet_v2_s
ExtraTreesClassifier,0.8770000000000001,0.9006666666666666,0.876704172249892,0.8819587533477133,0.10909170454255447,0.11155267813907471,0.12744845751607953,0.0971006489912303,,efficientnet_v2_s
NuSVC,0.8751666666666666,0.8893333333333334,0.8820178713211501,0.8787374380583273,0.11153586867012784,0.11609191760554796,0.1298488140082805,0.1006006529813998,,efficientnet_v2_s
MLPClassifier,0.8746666666666666,0.905,0.8714191343362453,0.8806791158010349,0.10696261028976432,0.10984079387914128,0.12726930684986212,0.09377809447090674,,efficientnet_v2_s
BernoulliNB,0.8721666666666665,0.9103333333333332,0.862725868151735,0.8797053714248676,0.10156566020724393,0.09550392662084634,0.12130404814829857,0.08707507217108168,,efficientnet_v2_s
NearestCentroid,0.8711666666666666,0.907,0.8634540966051819,0.8786151906442636,0.10463707118735055,0.09675226095549394,0.12328532537939528,0.08959011269761512,,efficientnet_v2_s
AdaBoostClassifier,0.8574999999999999,0.8799999999999999,0.8570404164112568,0.862859283703259,0.10364000192975685,0.10305338422390597,0.12501887972843198,0.093996488189108,,efficientnet_v2_s
KNeighborsClassifier,0.857,0.9316666666666669,0.826103224097597,0.8707954175155995,0.10070253224224304,0.07757791782030073,0.12090408127048685,0.0836900096295022,,efficientnet_v2_s
GaussianNB,0.8556666666666667,0.917,0.8355629477945563,0.8678584527611584,0.10565194429509253,0.09033825324855467,0.1256524563894048,0.08688863525332124,,efficientnet_v2_s
BaggingClassifier,0.8538333333333332,0.8563333333333333,0.8657661441621544,0.8548820941689066,0.10316128149649946,0.11616511237601988,0.12462242474745129,0.09718177856428012,,efficientnet_v2_s
LogisticRegression,0.82,0.8450000000000001,0.8183552642816668,0.8257726584177814,0.09881801455200363,0.10442700800080407,0.11764913606663442,0.08998651453163384,,efficientnet_v2_s
Perceptron,0.8086666666666666,0.8233333333333335,0.8151182987758757,0.811855227453426,0.08418828105304602,0.1066770828247567,0.11291451254826355,0.07764989743948221,,efficientnet_v2_s
PassiveAggressiveClassifier,0.8018333333333333,0.8203333333333334,0.803596468728599,0.8061058334460697,0.09150728568443792,0.1043439824171316,0.11248942602163095,0.08544457941617527,,efficientnet_v2_s
LinearSVC,0.8008333333333333,0.8219999999999998,0.8015025181797221,0.8061091026552016,0.09442589687156804,0.10156771140475698,0.11451545898628453,0.08665290707860529,,efficientnet_v2_s
DecisionTreeClassifier,0.7988333333333333,0.8009999999999999,0.8116017953368942,0.8004754366819835,0.08738182495996141,0.09491575211733824,0.11172484592342546,0.07940597647660083,,efficientnet_v2_s
SGDClassifier,0.7985,0.753,0.844599368625144,0.7895741665604342,0.08975104456216654,0.1004041831797859,0.1268925950629815,0.08763341858107561,,efficientnet_v2_s
RidgeClassifierCV,0.7869999999999999,0.829,0.7722230288566582,0.7951899907461539,0.09279547402756237,0.11211155159036913,0.09404829704634524,0.0870526673231513,,efficientnet_v2_s
ExtraTreeClassifier,0.7603333333333333,0.7543333333333333,0.7763779449654363,0.7601939184901267,0.07675285010994708,0.0790506166958867,0.10506650222253125,0.0701798984163802,,efficientnet_v2_s
RidgeClassifier,0.752,0.7979999999999998,0.7364456662556036,0.7627060665966505,0.08090735442467514,0.0966229786334493,0.08562006455434099,0.07725197435916366,,efficientnet_v2_s
LinearDiscriminantAnalysis,0.7488333333333334,0.7899999999999999,0.7342943428039825,0.7576892874282846,0.08058484141987665,0.1053565375285274,0.08366292772590594,0.08129064296035474,,efficientnet_v2_s
QuadraticDiscriminantAnalysis,0.0,0.0,0.0,0.0,,,,,"The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 900 samples and 1280 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.",efficientnet_v2_s
