Classification Method,Accuracy,Recall,Precision,F1 Score,Accuracy_std,Recall_std,Precision_std,F1_std,error,Transfer Learning Method
LogisticRegressionCV,0.8766666666666667,0.906,0.8736750825776234,0.8824097619120266,0.11540508365463514,0.1184229707446997,0.13119319911945113,0.10268275232765839,,resnet50
SVC,0.8755000000000001,0.9039999999999999,0.8724792054714907,0.8807013044677646,0.11858435815907595,0.1248358922746179,0.13247995865107523,0.10650367226605612,,resnet50
ExtraTreesClassifier,0.8738333333333334,0.8949999999999999,0.8772079134230862,0.8784631752336718,0.12555443706483121,0.12963410045200296,0.1381035702439621,0.11265826585881093,,resnet50
NuSVC,0.8713333333333333,0.8976666666666666,0.8707720539132943,0.876955403943153,0.12727660167263002,0.1276805910596177,0.13746090080860193,0.11303293791965165,,resnet50
RandomForestClassifier,0.8705,0.8926666666666666,0.8746258932582137,0.8748088842016954,0.1271111718142823,0.13727344972717773,0.13998107305739219,0.11497733612312523,,resnet50
HistGradientBoostingClassifier,0.8671666666666666,0.9006666666666667,0.8602775813292306,0.8736296532788078,0.11741912110044089,0.11926441212700457,0.13073109230944807,0.10501409934333983,,resnet50
GradientBoostingClassifier,0.8663333333333334,0.8936666666666667,0.8643862786256713,0.8724147433080256,0.11700142449275282,0.11504057255304902,0.13199963262337952,0.10403801663932047,,resnet50
MLPClassifier,0.8634999999999999,0.9023333333333333,0.8518929810737422,0.8704276829573245,0.11360127640127994,0.1182187238413047,0.12793195502650567,0.10224871222423937,,resnet50
NearestCentroid,0.8588333333333333,0.8933333333333333,0.8546582164939492,0.8661129902616587,0.12494898959175299,0.12420413304985735,0.13495738973838908,0.1085014410381134,,resnet50
GaussianNB,0.8568333333333333,0.9046666666666667,0.8437091913553465,0.866419773579574,0.12107263660023816,0.11469960767151734,0.13206098015746504,0.10384454885723675,,resnet50
BernoulliNB,0.8513333333333334,0.873,0.8520169792286836,0.8555228520732093,0.12667938532636897,0.1362387610043485,0.1366720992904019,0.11630174460790667,,resnet50
KNeighborsClassifier,0.849,0.906,0.8287770487405923,0.8607498619011267,0.1049952379872535,0.08581375181169973,0.12171312742545415,0.08769995299649398,,resnet50
AdaBoostClassifier,0.8450000000000001,0.865,0.8512046175189292,0.8506078288843716,0.1047854951794379,0.10604244433244643,0.127519486175969,0.09158535885345613,,resnet50
LogisticRegression,0.8388333333333333,0.8453333333333333,0.8497235197042065,0.8408669743804807,0.09437822842160157,0.10546405390779681,0.11876755864988343,0.08701332956956537,,resnet50
BaggingClassifier,0.8365,0.8309999999999998,0.8553113706905189,0.8350961106625752,0.12318786466206806,0.1428600713985542,0.13426751874726098,0.11941586296445625,,resnet50
Perceptron,0.8296666666666667,0.845,0.8338910945157071,0.8331462015204693,0.09308240077121632,0.10566456359631644,0.11605148938838661,0.08624339465334692,,resnet50
PassiveAggressiveClassifier,0.8290000000000001,0.8390000000000001,0.8374783882960368,0.8312423059052563,0.08999444427296609,0.1064377752492037,0.11319323550428355,0.0835683697554036,,resnet50
LinearSVC,0.8256666666666665,0.8306666666666667,0.8375616656550026,0.8262801173628065,0.0939716269235915,0.11723480711802277,0.11551360443112892,0.08981406643917718,,resnet50
SGDClassifier,0.8223333333333332,0.7923333333333333,0.8589959034827915,0.8162198026180919,0.10697663296253067,0.12988071450373223,0.1340154215761423,0.10700009320230969,,resnet50
DecisionTreeClassifier,0.7681666666666667,0.7763333333333333,0.777295654971479,0.7719606013731728,0.09603081102785015,0.09077995373429092,0.11668237641976993,0.08588440521993504,,resnet50
RidgeClassifierCV,0.7666666666666667,0.8046666666666666,0.7573783570464968,0.7764201662657262,0.09047098982546833,0.09089921158440632,0.09975070566131003,0.07998376601762511,,resnet50
ExtraTreeClassifier,0.7411666666666668,0.7443333333333333,0.7565348282373396,0.7425605181944064,0.1024804859473256,0.11668618884283893,0.1270020042634098,0.09565231176948777,,resnet50
RidgeClassifier,0.6983333333333334,0.7306666666666667,0.690397839304052,0.7079900379113904,0.0707695791518738,0.07490438349433674,0.07294387291384259,0.06472363442694927,,resnet50
LinearDiscriminantAnalysis,0.6303333333333333,0.6623333333333333,0.6259311153716091,0.6421088383999016,0.03652852766446156,0.03744774136491191,0.0449452200810836,0.0267767600522717,,resnet50
QuadraticDiscriminantAnalysis,0.0,0.0,0.0,0.0,,,,,"The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 900 samples and 2048 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.",resnet50
