Classification Method,Accuracy,Recall,Precision,F1 Score,Accuracy_std,Recall_std,Precision_std,F1_std,error,Transfer Learning Method
ExtraTreesClassifier,0.8566666666666667,0.873,0.8598656883840604,0.8598860335996708,0.11410521460476727,0.12578155667664476,0.12814195289362745,0.1056388709890913,,vgg16
HistGradientBoostingClassifier,0.8566666666666667,0.881,0.854153525777674,0.8610397640219082,0.1132769467573463,0.1248559169603107,0.12670743412140195,0.10493778761461685,,vgg16
RandomForestClassifier,0.8550000000000001,0.8703333333333333,0.8601173829057525,0.8586048651939961,0.11813128290169374,0.12533023045804498,0.13200906367498852,0.10752442046291771,,vgg16
LogisticRegressionCV,0.8543333333333333,0.8813333333333333,0.8536084940645224,0.8601291077571627,0.10899082530194917,0.11472866540959442,0.1273328868439804,0.0970463339588924,,vgg16
GradientBoostingClassifier,0.8501666666666668,0.8709999999999999,0.8514298854499284,0.855148373960881,0.11321918270917404,0.11510430052782562,0.13010105873819622,0.10289280633935238,,vgg16
NearestCentroid,0.8446666666666666,0.8916666666666666,0.8322958111860992,0.8541520461403614,0.11069176422239671,0.11277558837502613,0.1284546644673978,0.09620896543138159,,vgg16
MLPClassifier,0.8424999999999999,0.8603333333333334,0.8463323609866784,0.8464812262644019,0.11320887774375293,0.12369721096289922,0.1320507396707648,0.10414634175237683,,vgg16
BernoulliNB,0.8396666666666667,0.8963333333333333,0.8226306867133346,0.8508477377762926,0.10901528944755104,0.11126994203287786,0.12446910010261805,0.09221342545951883,,vgg16
SVC,0.8376666666666667,0.8240000000000001,0.8640863150079909,0.8369326637854695,0.11353707177246851,0.11816936997377957,0.13646569270628225,0.10617674651894575,,vgg16
AdaBoostClassifier,0.8361666666666666,0.8593333333333332,0.8369144334477955,0.8416304850182785,0.1029348499456493,0.10959318713618407,0.12606958703257545,0.09372695513196999,,vgg16
LogisticRegression,0.836,0.8546666666666667,0.8354445725841921,0.8403948876817824,0.08461087400565014,0.0871550342780037,0.10293772870101386,0.07588580881023173,,vgg16
BaggingClassifier,0.8346666666666666,0.8236666666666668,0.8539641731350786,0.8316365973435446,0.11455420841971135,0.1394548911536152,0.1251964260578566,0.11253616942248035,,vgg16
NuSVC,0.8271666666666666,0.7976666666666665,0.8629080020845782,0.822739657071241,0.10915088944514684,0.1169144986731757,0.1323960388525602,0.10482728266891889,,vgg16
PassiveAggressiveClassifier,0.8251666666666667,0.844,0.8250665854419568,0.8294166372751006,0.07831719691953572,0.08708616422830896,0.09753239383925096,0.06930132010510527,,vgg16
Perceptron,0.8183333333333334,0.8433333333333334,0.8165097956473281,0.8250328976332169,0.08078778785600374,0.07348469228349536,0.10555698615427782,0.06855085639959688,,vgg16
KNeighborsClassifier,0.8150000000000001,0.9153333333333334,0.7749174989228902,0.8349740663073497,0.0990706818387761,0.08364209466530592,0.11125876577589462,0.08216526339795818,,vgg16
LinearSVC,0.8121666666666666,0.833,0.8099059072298751,0.8175119127009379,0.08122345720295339,0.0782368199762746,0.09777765965570628,0.07078893333855095,,vgg16
SGDClassifier,0.8071666666666667,0.7503333333333333,0.8620520576473609,0.7965257235552984,0.08327014270833615,0.08929912280270917,0.11697869462923162,0.07825730033492205,,vgg16
DecisionTreeClassifier,0.7578333333333332,0.7626666666666666,0.7677682172173965,0.7590816449093072,0.09364249391524483,0.10980588933811035,0.11108846592300893,0.08884287626501902,,vgg16
ExtraTreeClassifier,0.7360000000000001,0.7543333333333333,0.7338250739318297,0.7393060838733196,0.09966945369570358,0.12610445405826606,0.10745749216512046,0.1008507509573596,,vgg16
LinearDiscriminantAnalysis,0.7356666666666667,0.7696666666666665,0.725826119861624,0.7445897117975432,0.07034912934784625,0.07798076685952762,0.07623094937225974,0.06430973499532983,,vgg16
RidgeClassifierCV,0.7091666666666667,0.7376666666666666,0.7043608744724168,0.7176579204499234,0.06316314853879067,0.06867071185495797,0.06978803007049478,0.0536489153097321,,vgg16
RidgeClassifier,0.6951666666666666,0.7206666666666667,0.690372761597274,0.7030285867843192,0.06238522795234995,0.06646302230062469,0.06540154347467346,0.054837098507870476,,vgg16
GaussianNB,0.6811666666666667,0.901,0.6382343864835623,0.7429710711992324,0.0925684431470394,0.03858756276314948,0.09588468889193956,0.062001591320524053,,vgg16
QuadraticDiscriminantAnalysis,0.0,0.0,0.0,0.0,,,,,"The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 900 samples and 4096 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.",vgg16
