Classification Method,Accuracy,Recall,Precision,F1 Score
SVC,0.8889999999999999,0.9129999999999999,0.8874709165478668,0.8939321697143209
LogisticRegressionCV,0.8881666666666665,0.9213333333333333,0.881068376210281,0.8946418018901884
NuSVC,0.8848333333333332,0.8916666666666666,0.8955943823101309,0.8868264244790026
RandomForestClassifier,0.884,0.8986666666666666,0.8902654587813702,0.8877232275503394
ExtraTreesClassifier,0.8821666666666668,0.909,0.8790491028447294,0.8878271928838544
GradientBoostingClassifier,0.8768333333333332,0.9059999999999999,0.8721000077841788,0.88228162100511
NearestCentroid,0.8761666666666666,0.925,0.8597927509344704,0.8853334298047942
MLPClassifier,0.8758333333333332,0.8966666666666667,0.878642037227484,0.8816965010968101
HistGradientBoostingClassifier,0.8756666666666666,0.9036666666666667,0.873026268396987,0.8820154999523379
BernoulliNB,0.8696666666666667,0.9179999999999999,0.8528051433973811,0.8784631015886664
KNeighborsClassifier,0.8539999999999999,0.9226666666666666,0.829681428179948,0.8671070313545621
GaussianNB,0.8488333333333333,0.9269999999999999,0.8177239291592979,0.8625872231112298
BaggingClassifier,0.8461666666666667,0.8456666666666667,0.8609031862065898,0.8476218646997044
AdaBoostClassifier,0.8406666666666667,0.8573333333333333,0.8413004724835108,0.8443821740604465
LogisticRegression,0.8341666666666667,0.8546666666666667,0.83581347228947,0.8394436334690903
Perceptron,0.8245000000000001,0.8393333333333333,0.8301576325680436,0.8295618093435179
PassiveAggressiveClassifier,0.8240000000000001,0.8450000000000001,0.8248009497905461,0.8293364648023258
LinearSVC,0.8238333333333333,0.8416666666666668,0.8253425930286241,0.8282122374018732
SGDClassifier,0.8193333333333334,0.7786666666666666,0.8614574590018437,0.8124209525505117
RidgeClassifierCV,0.7939999999999999,0.8363333333333334,0.7798063947584355,0.8029108163573555
DecisionTreeClassifier,0.7768333333333333,0.7756666666666666,0.7892981361328925,0.7771504030246527
RidgeClassifier,0.7658333333333334,0.7983333333333335,0.757014731559248,0.7733621767551396
LinearDiscriminantAnalysis,0.7623333333333332,0.7933333333333333,0.7544707056981539,0.7697534870572701
ExtraTreeClassifier,0.7458333333333333,0.735,0.7641972504407906,0.7437620179149464
QuadraticDiscriminantAnalysis,0.0,0.0,0.0,0.0
